dataSource,scientificName,trait,family,year,dayOfYear,latitude,longitude,observedMetadataUrl,occurrenceID,genus,date,recordedBy,coordinateUncertaintyInMeters,modelUri,accuracyExcludingUncertainFamily,ObservedImageUrl,verbatimTrait,annotation_method
iNaturalist,Quercus ellipsoidalis,green leaves present,Fagaceae,1990,195,48.8489763897,-94.6712225631,https://www.inaturalist.org/observations/00353727-59ff-448e-b5d4-57b9bd923508,00353727-59ff-448e-b5d4-57b9bd923508,Quercus,1990-07-14,264097,2167,10.57967/hf/5785,0.9927089175546832,https://www.inaturalist.org/photos/59170546,green leaves,machine
iNaturalist,Morus alba,colored leaves present,Moraceae,2006,306,42.3417911038,-71.10968003,https://www.inaturalist.org/observations/0037b407-cf8e-42ae-8eee-b9800f4b5b67,0037b407-cf8e-42ae-8eee-b9800f4b5b67,Morus,2006-11-02,208120,61,10.57967/hf/5785,0.9826589595375722,https://www.inaturalist.org/photos/75090594,colored leaves,machine
iNaturalist,Ilex paraguariensis,green leaves present,Aquifoliaceae,2011,66,-27.398541724,-52.045542935,https://www.inaturalist.org/observations/003979ff-5dee-4204-a046-797bdadf1614,003979ff-5dee-4204-a046-797bdadf1614,Ilex,2011-03-07,3093661,29751,10.57967/hf/5785,1,https://www.inaturalist.org/photos/85994909,green leaves,machine
iNaturalist,Aruncus dioicus,green leaves present,Rosaceae,2008,191,58.8683804944,151.5435089372,https://www.inaturalist.org/observations/0039ab13-5ce9-4905-8659-d6daab2b8a7e,0039ab13-5ce9-4905-8659-d6daab2b8a7e,Aruncus,2008-07-09,2393346,125,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/115012333,green leaves,machine
iNaturalist,Caragana arborescens,green leaves present,Fabaceae,2010,175,51.1820744143,37.656426663,https://www.inaturalist.org/observations/003af708-9ea0-4ca2-a9bc-e02aa3647a49,003af708-9ea0-4ca2-a9bc-e02aa3647a49,Caragana,2010-06-24,1917127,93,10.57967/hf/5785,0.9814814814814816,https://www.inaturalist.org/photos/71978791,green leaves,machine
iNaturalist,Rubus curtipes,green leaves present,Rosaceae,1992,209,42.26297,-83.05262,https://www.inaturalist.org/observations/003bbcaf-45de-48c2-adfa-f3834269308c,003bbcaf-45de-48c2-adfa-f3834269308c,Rubus,1992-07-27,111485,NA,10.57967/hf/5785,0.9869934967483742,https://www.inaturalist.org/photos/248105004,green leaves,machine
iNaturalist,Aralia leschenaultii,green leaves present,Araliaceae,2004,139,28.1152911619,85.3101574653,https://www.inaturalist.org/observations/003dccfd-e75f-4176-9510-6591db3570a6,003dccfd-e75f-4176-9510-6591db3570a6,Aralia,2004-05-18,46945,15,10.57967/hf/5785,0.9876543209876544,https://www.inaturalist.org/photos/111917752,green leaves,machine
iNaturalist,Cephalanthus occidentalis,green leaves present,Rubiaceae,2007,166,32.1527792692,-81.1076888483,https://www.inaturalist.org/observations/003ed40a-9af0-408c-93ff-cdecf1d8d612,003ed40a-9af0-408c-93ff-cdecf1d8d612,Cephalanthus,2007-06-15,3504195,1667,10.57967/hf/5785,0.9846938775510204,https://www.inaturalist.org/photos/111480734,green leaves,machine
iNaturalist,Ficus aurea,green leaves present,Moraceae,2012,87,26.376398,-81.608779,https://www.inaturalist.org/observations/0040078b-a617-4e11-a66f-6f1f1f0953fa,0040078b-a617-4e11-a66f-6f1f1f0953fa,Ficus,2012-03-27,480373,5,10.57967/hf/5785,1,https://www.inaturalist.org/photos/8198622,green leaves,machine
iNaturalist,Actaea rubra,green leaves present,Ranunculaceae,2010,138,45.9776989781,-64.3865776062,https://www.inaturalist.org/observations/00418135-92ef-469b-a866-d9fa29ca3314,00418135-92ef-469b-a866-d9fa29ca3314,Actaea,2010-05-18,191483,380,10.57967/hf/5785,0.9668508287292816,https://www.inaturalist.org/photos/5791498,green leaves,machine
