scientificName,family,canonicalName,matchedScientificName,status,matchType,confidence,usageKey,error
Conoclinium coelestinum,Asteraceae,Conoclinium coelestinum,Conoclinium coelestinum (L.) DC.,ACCEPTED,EXACT,100,3090343,
Conoclinium dissectum,Asteraceae,Conoclinium dissectum,Conoclinium dissectum A.Gray,ACCEPTED,EXACT,100,3090339,
Convallaria majalis,Asparagaceae,Convallaria majalis,Convallaria majalis L.,ACCEPTED,EXACT,100,7459480,
Coreopsis lanceolata,Asteraceae,Coreopsis lanceolata,Coreopsis lanceolata L.,ACCEPTED,EXACT,100,3133938,
Cornus alternifolia,Cornaceae,Cornus alternifolia,Cornus alternifolia L.f.,ACCEPTED,EXACT,99,3082242,
Cornus canadensis,Cornaceae,Cornus canadensis,Cornus canadensis L.,ACCEPTED,EXACT,99,3082270,
Cornus drummondii,Cornaceae,Cornus drummondii,Cornus drummondii C.A.Mey.,ACCEPTED,EXACT,100,3082256,
Cornus florida,Cornaceae,Cornus florida,Cornus florida L.,ACCEPTED,EXACT,99,3082240,
Cornus florida-appalachianspring,Cornaceae,Cornus,Cornus L.,ACCEPTED,HIGHERRANK,96,3082226,
Cornus kousa,Cornaceae,Cornus kousa,Cornus kousa Bürger ex Hance,ACCEPTED,EXACT,99,3082274,
Cornus mas,Cornaceae,Cornus mas,Cornus mas L.,ACCEPTED,EXACT,100,3082263,
Cornus racemosa,Cornaceae,Cornus racemosa,Cornus racemosa Lam.,ACCEPTED,EXACT,100,3082264,
Cornus sericea,Cornaceae,Cornus sericea,Cornus sericea L.,ACCEPTED,EXACT,100,3082244,
Corylus americana,Betulaceae,Corylus americana,Corylus americana Walter,ACCEPTED,EXACT,99,2876060,
Corylus cornuta,Betulaceae,Corylus cornuta,Corylus cornuta Marshall,ACCEPTED,EXACT,99,2876032,
Crataegus douglasii,Rosaceae,Crataegus douglasii,Crataegus douglasii Lindl.,ACCEPTED,EXACT,99,3013580,
Crataegus spp.,Rosaceae,Crataegus,Crataegus L.,ACCEPTED,HIGHERRANK,96,3013395,
Crocus spp.,Iridaceae,Crocus,Crocus L.,ACCEPTED,HIGHERRANK,96,2747303,
Croton lucidus,Euphorbiaceae,Croton lucidus,Croton lucidus L.,ACCEPTED,EXACT,99,3057828,
Cydonia oblonga,Rosaceae,Cydonia oblonga,Cydonia oblonga Mill.,ACCEPTED,EXACT,99,5362215,
Cylindropuntia acanthocarpa,Cactaceae,Cylindropuntia acanthocarpa,Cylindropuntia acanthocarpa (Engelm. & J.M.Bigelow) F.M.Knuth,ACCEPTED,EXACT,100,7282888,
Cylindropuntia imbricata,Cactaceae,Cylindropuntia imbricata,Cylindropuntia imbricata (Haw.) F.M.Knuth,ACCEPTED,EXACT,100,6381277,
Cylindropuntia leptocaulis,Cactaceae,Cylindropuntia leptocaulis,Cylindropuntia leptocaulis (DC.) F.M.Knuth,ACCEPTED,EXACT,100,7282605,
Cynodon dactylon,Poaceae,Cynodon dactylon,Cynodon dactylon (L.) Pers.,ACCEPTED,EXACT,100,6109637,
Cypripedium acaule,Orchidaceae,Cypripedium acaule,Cypripedium acaule Aiton,ACCEPTED,EXACT,100,2820380,
Dalea purpurea,Fabaceae,Dalea purpurea,Dalea purpurea Vent.,ACCEPTED,EXACT,100,5353342,
