guid,errors
fbeae9c7-fda3-41f9-ae62-4c6d58ecba80,prediction class must be 'detected'
40bf23f9-4e16-4acc-a644-7e153d2a2b7f,prediction class must be 'detected'
36d9aacd-ae9e-4cab-805c-70968b8d53a7,prediction class must be 'detected'
bfbe7ffa-d4fc-4c65-a49e-db42dfee84ec,prediction class must be 'detected'
78e0e203-924a-48d4-a627-c35483d7584a,prediction class must be 'detected'
e58fda8e-5b1f-4a1b-aa93-eaa58650b0f1,prediction class must be 'detected'
58d62142-5d45-4b47-b0d9-09da36e2c765,prediction class must be 'detected'
66009c3e-c893-467c-95fe-f3307cf8f398,prediction class must be 'detected'
8dcd8613-bbc7-4eea-84f5-3d4ed59518c9,prediction class must be 'detected'
f505b197-e00e-44c5-b053-d11945118734,prediction class must be 'detected'
6bdc7f34-030c-4a35-9a0a-ea426872b660,prediction class must be 'detected'|certainty must be set to 'high' to load
7140e343-6d81-4ea5-80df-83ad12531de6,prediction class must be 'detected'
9ea6c397-2e58-48e3-a9a9-7822f1e0fcb3,Field 'coordinate_uncertainty_meters' must be an integer
8cf37fd9-db39-4b7a-a7cd-cecb9ecc1351,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
6c3495e5-f4d1-4015-bc16-c2b3ca914df6,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
ff299bd5-4895-4aee-b3eb-1dcfa6cb225d,certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
f8015624-8cb8-4af6-bc1d-fe7ed5efc0a3,prediction class must be 'detected'
d02cf47e-5207-4bbc-93bf-ecba88544305,prediction class must be 'detected'
0df14e62-d852-4ae2-be40-9c957f1994c4,Field 'coordinate_uncertainty_meters' must be an integer
dda4aaa3-cb7a-4f50-9444-f4a1c29e47cf,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
9e3cf732-1d77-4358-964e-4e57168fc460,prediction class must be 'detected'
8c5a16d6-b91c-43bd-aa47-bd26b3dae398,prediction class must be 'detected'
3dd1d16e-6223-4825-baaa-a4255a153fab,Field 'coordinate_uncertainty_meters' must be an integer
54ec1f56-b9c9-4d5e-9415-0a0a2a76a94d,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
a265f816-6470-4ef8-893a-a70d7fc346bb,prediction class must be 'detected'
430530cf-f4ed-42f6-8e07-b03fac4d6f6a,Field 'coordinate_uncertainty_meters' must be an integer
1ce5c429-851e-460c-9f83-400501030577,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
2b21b452-e7e6-4c22-9324-954542a6930e,prediction class must be 'detected'|certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
ae07acc9-a5d2-4def-98a4-0804974f18c9,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
38f5a9eb-180a-4cc6-a163-8f1cb2ab1099,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
d9b9275a-0f17-4c96-9218-bc48928b41e1,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
cd3c2073-3a0d-4657-925c-f88337ca24a7,prediction class must be 'detected'
065e555d-988d-422a-9ac7-7bf40d46b3ff,prediction class must be 'detected'|certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
a3bb4130-36a1-4dcf-bbb1-c270c1ac6ef9,certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
2ad9627e-14d5-4d7c-8b07-b52d9755b396,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
a513b2cc-a050-47c0-8181-3f5d9b7e3ffe,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
d5235288-cca2-4495-8799-f158d9c4c98a,prediction class must be 'detected'
a933f57e-9ad9-4943-ab76-3ac39433782b,prediction class must be 'detected'
198ee8ab-1885-46ed-8689-a38ac6cb11d9,Field 'coordinate_uncertainty_meters' must be an integer
6c40845a-7536-4c90-8969-24c6c89e2bab,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
2bfcbfb2-2b0b-469b-8d0b-c69c4bf31d93,prediction class must be 'detected'
84d7cbf0-da68-4c0a-b294-d8fe3a858da6,prediction class must be 'detected'
aa3203da-5e2d-43d3-b91e-833ab3f6e6cc,prediction class must be 'detected'|certainty must be set to 'high' to load|Field 'coordinate_uncertainty_meters' must be an integer
c693b086-9304-4015-93e9-f5efb7f59fb9,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
d65d38df-4db5-4e9b-8303-2a73d2eb6d4e,prediction class must be 'detected'
aee50842-29bf-4f3d-bc2d-690454aaaf6a,prediction class must be 'detected'
2a01f24d-f2b1-4c5a-946e-c6bf289cdbed,Field 'coordinate_uncertainty_meters' must be an integer
a196f535-feee-4fcc-bdc1-ef49e88c411d,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
2bf2bfde-42e8-43bd-a21d-c00ab78e0123,prediction class must be 'detected'
c0e4e11a-3382-4b92-80c0-abd4c096e264,prediction class must be 'detected'
1e5b1006-e5c6-4e33-b4c6-f1ad5294d1ec,prediction class must be 'detected'|certainty must be set to 'high' to load
8f2f02a5-4b29-46c3-91bd-22058774c7fa,Field 'coordinate_uncertainty_meters' must be an integer
be92157e-4190-49be-85a3-cf85f7bbcdb1,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
76e36bdc-4ce6-47ef-bc62-5599df2cfc20,prediction class must be 'detected'
d0c2817d-c1e4-4b45-9b4b-ccf755b9f64e,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
24c5100a-92ba-4d6a-af27-c876bcd15de7,Field 'coordinate_uncertainty_meters' must be an integer
c04370fb-00e9-449b-b6f3-be2db420ac72,prediction class must be 'detected'
0ae1de49-14c9-4dab-b094-d0cc4ca54164,prediction class must be 'detected'
c4fca57a-4cc9-48f6-891b-65a78564a46f,prediction class must be 'detected'
73718dc5-8d7e-4545-8e63-8ebc65b2573d,prediction class must be 'detected'
5834c233-7b0d-44a2-9049-3fd30a607e94,prediction class must be 'detected'
75df2393-c9f6-43b5-8e4a-f51c09fe352c,prediction class must be 'detected'
64175f77-2b07-46af-9662-7fb3cc3dbfaa,prediction class must be 'detected'
b6773cc6-49ea-4e2d-b680-6743b9d30ed7,prediction class must be 'detected'
90cb0e09-3bf0-4c39-85f3-1c5fe2e57e18,prediction class must be 'detected'
7e30759f-c5ef-42a7-841d-3102dca01d9f,prediction class must be 'detected'
643e3efe-b653-4a09-9ad7-9a866310e4f2,prediction class must be 'detected'
df8a9d50-c169-421c-b930-bc1b0b46e6ff,Field 'coordinate_uncertainty_meters' must be an integer
37144ade-01ca-49a1-aeaa-3cbbb496a7ff,prediction class must be 'detected'|Field 'coordinate_uncertainty_meters' must be an integer
96c9726c-9c62-4d9e-8bcd-90d47abc1211,prediction class must be 'detected'
837ff858-5311-4a0d-809c-f03db9622eae,prediction class must be 'detected'
ddf129cb-a43f-4294-b3eb-a4905ed527f8,prediction class must be 'detected'
a04dd8b5-ceb1-4eb7-8aee-42fde3dec70f,prediction class must be 'detected'
