machine_learning_annotation_id,datasource,verbatim_date,day_of_year,year,latitude,longitude,coordinate_uncertainty_meters,family,count_family,genus,scientific_name,taxon_rank,trait,observed_image_guid,observed_image_url,observed_metadata_url,certainty,model_uri,prediction_probability,prediction_class,proportion_low_certainty_family,accuracy_excluding_low_certainty_family,accuracy_family
969a0aef-fa81-48ca-8db7-50f829832612,iNaturalist,6/7/19,158,2019,53.9715619,37.1809959,300,Asteraceae,104342,Cirsium,Cirsium arvense,species,fruit,42954365,https://www.inaturalist.org/photos/42954365,https://www.inaturalist.org/observations/f25096ac-064d-4b25-a7ba-c643a0f94443,high,10.57967/hf/2763,0.007518768,Not Detected,0.058126162,0.977909379,0.960054436
cd45c968-c4dd-4c5d-8fee-492a60824b03,iNaturalist,3/8/20,68,2020,40.42354571,-3.857818797,1000,Apiaceae,11971,Magydaris,Magydaris panacifolia,species,flower,63235386,https://www.inaturalist.org/photos/63235386,https://www.inaturalist.org/observations/e80c1e63-cf91-4c70-80a7-b90c886f5a1c,high,10.57967/hf/2763,0.001623154,Not Detected,0.134157547,0.968644477,0.895664523
cc285e63-237c-4c57-8571-61cf0bd4ffe8,iNaturalist,3/8/20,68,2020,40.42354571,-3.857818797,1000,Apiaceae,11971,Magydaris,Magydaris panacifolia,species,fruit,63235386,https://www.inaturalist.org/photos/63235386,https://www.inaturalist.org/observations/e80c1e63-cf91-4c70-80a7-b90c886f5a1c,high,10.57967/hf/2763,0.005260468,Not Detected,0.09539721,0.966663589,0.937348592
90c6fab7-cd67-4033-989f-56061f27db09,iNaturalist,10/8/11,281,2011,-34.52608,19.92409,1,Ericaceae,27648,Erica,Erica articularis articularis,variety,flower,15606076,https://www.inaturalist.org/photos/15606076,https://www.inaturalist.org/observations/c03f3bea-7f38-497b-b89c-7a82e15b3598,high,10.57967/hf/2763,0.997070313,Detected,0.068431713,0.98113061,0.946578414
fad71012-c3fe-4c98-b51c-a786314b38b3,iNaturalist,10/8/11,281,2011,-34.52608,19.92409,1,Ericaceae,27648,Erica,Erica articularis articularis,variety,fruit,15606076,https://www.inaturalist.org/photos/15606076,https://www.inaturalist.org/observations/c03f3bea-7f38-497b-b89c-7a82e15b3598,high,10.57967/hf/2763,0.004905701,Not Detected,0.062210648,0.975431965,0.955331308
30ab3af4-7383-4789-bb29-98e546036592,iNaturalist,4/17/19,107,2019,37.16727829,-118.2922974,NA,Boraginaceae,18082,Phacelia,Phacelia curvipes,species,flower,35060389,https://www.inaturalist.org/photos/35060389,https://www.inaturalist.org/observations/41e3f1ae-4593-4d38-b9ff-f561641bc024,high,10.57967/hf/2763,0.999511719,Detected,0.042307267,0.98995207,0.964882203
b543e0fe-0162-4dc0-9c5c-ab4f2aee4d47,iNaturalist,4/17/19,107,2019,37.16727829,-118.2922974,NA,Boraginaceae,18082,Phacelia,Phacelia curvipes,species,fruit,35060389,https://www.inaturalist.org/photos/35060389,https://www.inaturalist.org/observations/41e3f1ae-4593-4d38-b9ff-f561641bc024,high,10.57967/hf/2763,0.013534546,Not Detected,0.032186705,0.981428571,0.9694171
e65c5572-875c-431b-8182-f1b91498bad4,iNaturalist,8/7/21,219,2021,40.00586038,-75.854288,118,Lamiaceae,39282,Prunella,Prunella vulgaris,species,flower,149181608,https://www.inaturalist.org/photos/149181608,https://www.inaturalist.org/observations/1a6c68a0-ed5f-4ca5-b451-b6610786b123,high,10.57967/hf/2763,0.995605469,Detected,0.04042564,0.989308643,0.968306094
1c026797-7158-4ecd-b903-d7ef97a53bca,iNaturalist,8/7/21,219,2021,40.00586038,-75.854288,118,Lamiaceae,39282,Prunella,Prunella vulgaris,species,fruit,149181608,https://www.inaturalist.org/photos/149181608,https://www.inaturalist.org/observations/1a6c68a0-ed5f-4ca5-b451-b6610786b123,high,10.57967/hf/2763,0.00270462,Not Detected,0.04719719,0.980629475,0.963291075
558ec931-f20a-458d-b464-6a97bb9166ff,iNaturalist,3/27/22,86,2022,40.98974411,-73.90602182,24,Brassicaceae,21075,Arabidopsis,Arabidopsis lyrata,species,flower,184935636,https://www.inaturalist.org/photos/184935636,https://www.inaturalist.org/observations/1484bbff-f4e8-4bf6-8b18-dd5e5c588144,high,10.57967/hf/2763,0.991210938,Detected,0.10173191,0.982092864,0.920284698
6ee9eb57-2466-4f1c-b36b-da9d2b34f27b,iNaturalist,3/27/22,86,2022,40.98974411,-73.90602182,24,Brassicaceae,21075,Arabidopsis,Arabidopsis lyrata,species,fruit,184935636,https://www.inaturalist.org/photos/184935636,https://www.inaturalist.org/observations/1484bbff-f4e8-4bf6-8b18-dd5e5c588144,high,10.57967/hf/2763,0.01953125,Not Detected,0.139691578,0.956262754,0.913262159
